time_ms,avg_cpu_util,mem_kb,slope_kb_per_ms,forecast_kb,top1_pid,top1_cpu_ms,top2_pid,top2_cpu_ms,top3_pid,top3_cpu_ms,hotspots
100,27.273,15000,0.000,15000,1,90,3,0,2,0,0
200,29.841,27000,65.455,54000,1,180,3,0,2,0,0
300,32.381,12000,-74.956,0,1,200,2,64,3,0,0
400,19.048,8000,-23.403,0,1,200,2,100,3,0,0
500,19.048,8000,-23.403,0,1,200,2,100,3,0,0
600,21.212,8000,0.000,8000,1,200,2,100,3,70,0
700,22.222,8000,0.000,8000,1,200,3,140,2,100,0
714,22.222,0,-41.063,0,1,200,3,150,2,100,0
