time_ms,avg_cpu_util,mem_kb,slope_kb_per_ms,forecast_kb,top1_pid,top1_cpu_ms,top2_pid,top2_cpu_ms,top3_pid,top3_cpu_ms,hotspots
100,60.833,25000,-28.838,10581,4,30,2,12,1,8,0
200,60.857,21000,-59.920,0,1,48,2,40,4,30,0
300,41.455,10000,-89.880,0,3,60,1,50,2,40,0
371,27.182,0,-54.545,0,5,80,3,60,1,50,0
